네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
생활/건강 > 원예/식물
조회기간 : 2021.07.10. ~ 2022.07.10. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","원예/식물"
"2021-11-23",40
"2021-11-24",40
"2021-11-25",39
"2021-11-26",37
"2021-11-27",36
"2021-11-28",41
"2021-11-29",41
"2021-11-30",43
"2021-12-01",41
"2021-12-02",40
"2021-12-03",38
"2021-12-04",38
"2021-12-05",42
"2021-12-06",44
"2021-12-07",43
"2021-12-08",43
"2021-12-09",43
"2021-12-10",41
"2021-12-11",42
"2021-12-12",46
"2021-12-13",45
"2021-12-14",45
"2021-12-15",43
"2021-12-16",44
"2021-12-17",40
"2021-12-18",39
"2021-12-19",44
"2021-12-20",44
"2021-12-21",45
"2021-12-22",43
"2021-12-23",42
"2021-12-24",36
"2021-12-25",38
"2021-12-26",42
"2021-12-27",43
"2021-12-28",42
"2021-12-29",43
"2021-12-30",43
"2021-12-31",37
"2022-01-01",40
"2022-01-02",46
"2022-01-03",45
"2022-01-04",46
"2022-01-05",45
"2022-01-06",44
"2022-01-07",43
"2022-01-08",45
"2022-01-09",49
"2022-01-10",46
"2022-01-11",45
"2022-01-12",44
"2022-01-13",43
"2022-01-14",41
"2022-01-15",44
"2022-01-16",47
"2022-01-17",44
"2022-01-18",46
"2022-01-19",44
"2022-01-20",43
"2022-01-21",41
"2022-01-22",44
"2022-01-23",50
"2022-01-24",48
"2022-01-25",46
"2022-01-26",45
"2022-01-27",42
"2022-01-28",38
"2022-01-29",41
"2022-01-30",40
"2022-01-31",37
"2022-02-01",39
"2022-02-02",48
"2022-02-03",50
"2022-02-04",50
"2022-02-05",56
"2022-02-06",61
"2022-02-07",58
"2022-02-08",58
"2022-02-09",58
"2022-02-10",59
"2022-02-11",57
"2022-02-12",59
"2022-02-13",67
"2022-02-14",67
"2022-02-15",66
"2022-02-16",64
"2022-02-17",63
"2022-02-18",61
"2022-02-19",63
"2022-02-20",70
"2022-02-21",66
"2022-02-22",62
"2022-02-23",60
"2022-02-24",56
"2022-02-25",54
"2022-02-26",60
"2022-02-27",64
"2022-02-28",58
"2022-03-01",68
"2022-03-02",57
"2022-03-03",56
"2022-03-04",54
"2022-03-05",60
"2022-03-06",68
"2022-03-07",59
"2022-03-08",59
"2022-03-09",65
"2022-03-10",57
"2022-03-11",60
"2022-03-12",68
"2022-03-13",78
"2022-03-14",71
"2022-03-15",67
"2022-03-16",69
"2022-03-17",68
"2022-03-18",65
"2022-03-19",70
"2022-03-20",73
"2022-03-21",72
"2022-03-22",71
"2022-03-23",71
"2022-03-24",69
"2022-03-25",67
"2022-03-26",73
"2022-03-27",77
"2022-03-28",75
"2022-03-29",74
"2022-03-30",74
"2022-03-31",70
"2022-04-01",66
"2022-04-02",70
"2022-04-03",77
"2022-04-04",77
"2022-04-05",83
"2022-04-06",76
"2022-04-07",74
"2022-04-08",69
"2022-04-09",70
"2022-04-10",77
"2022-04-11",79
"2022-04-12",76
"2022-04-13",79
"2022-04-14",78
"2022-04-15",75
"2022-04-16",76
"2022-04-17",83
"2022-04-18",84
"2022-04-19",85
"2022-04-20",83
"2022-04-21",86
"2022-04-22",81
"2022-04-23",81
"2022-04-24",91
"2022-04-25",94
"2022-04-26",97
"2022-04-27",92
"2022-04-28",88
"2022-04-29",82
"2022-04-30",82
"2022-05-01",95
"2022-05-02",100
"2022-05-03",93
"2022-05-04",82
"2022-05-05",78
"2022-05-06",76
"2022-05-07",77
"2022-05-08",84
"2022-05-09",77
"2022-05-10",72
"2022-05-11",73
"2022-05-12",69
"2022-05-13",65
"2022-05-14",66
"2022-05-15",70
"2022-05-16",68
"2022-05-17",65
"2022-05-18",65
"2022-05-19",64
"2022-05-20",60
"2022-05-21",58
"2022-05-22",62
"2022-05-23",62
"2022-05-24",64
"2022-05-25",60
"2022-05-26",59
"2022-05-27",55
"2022-05-28",51
"2022-05-29",58
"2022-05-30",58
"2022-05-31",54
"2022-06-01",59
"2022-06-02",56
"2022-06-03",51
"2022-06-04",49
"2022-06-05",55
"2022-06-06",61
"2022-06-07",58
"2022-06-08",59
"2022-06-09",56
"2022-06-10",52
"2022-06-11",53
"2022-06-12",56
"2022-06-13",56
"2022-06-14",55
"2022-06-15",54
"2022-06-16",53
"2022-06-17",51
"2022-06-18",50
"2022-06-19",53
"2022-06-20",53
"2022-06-21",52
"2022-06-22",50
"2022-06-23",49
"2022-06-24",48
"2022-06-25",51
"2022-06-26",52
"2022-06-27",53
"2022-06-28",52
"2022-06-29",54
"2022-06-30",50
"2022-07-01",45
"2022-07-02",46
"2022-07-03",49
"2022-07-04",50
"2022-07-05",52
"2022-07-06",51
"2022-07-07",49
"2022-07-08",48
"2022-07-09",47
"2022-07-10",50
