네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2021.07.10. ~ 2022.07.10. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","장미","카네이션"
"2022-02-27",1,0
"2022-02-28",1,0
"2022-03-01",1,0
"2022-03-02",1,0
"2022-03-03",1,0
"2022-03-04",1,0
"2022-03-05",1,0
"2022-03-06",1,0
"2022-03-07",1,0
"2022-03-08",1,1
"2022-03-09",1,0
"2022-03-10",1,0
"2022-03-11",1,0
"2022-03-12",1,0
"2022-03-13",1,0
"2022-03-14",1,1
"2022-03-15",1,1
"2022-03-16",1,0
"2022-03-17",1,1
"2022-03-18",1,0
"2022-03-19",1,1
"2022-03-20",1,0
"2022-03-21",1,1
"2022-03-22",1,1
"2022-03-23",1,1
"2022-03-24",1,1
"2022-03-25",1,1
"2022-03-26",1,1
"2022-03-27",1,1
"2022-03-28",1,1
"2022-03-29",2,1
"2022-03-30",1,1
"2022-03-31",1,1
"2022-04-01",1,1
"2022-04-02",1,1
"2022-04-03",1,2
"2022-04-04",1,3
"2022-04-05",1,3
"2022-04-06",1,3
"2022-04-07",1,4
"2022-04-08",1,4
"2022-04-09",1,4
"2022-04-10",1,4
"2022-04-11",2,4
"2022-04-12",1,6
"2022-04-13",2,5
"2022-04-14",1,7
"2022-04-15",1,6
"2022-04-16",1,6
"2022-04-17",1,9
"2022-04-18",1,15
"2022-04-19",1,20
"2022-04-20",1,24
"2022-04-21",1,25
"2022-04-22",1,27
"2022-04-23",1,22
"2022-04-24",2,31
"2022-04-25",1,42
"2022-04-26",1,46
"2022-04-27",4,48
"2022-04-28",1,49
"2022-04-29",1,45
"2022-04-30",1,39
"2022-05-01",2,63
"2022-05-02",2,100
"2022-05-03",2,89
"2022-05-04",2,56
"2022-05-05",1,30
"2022-05-06",2,29
"2022-05-07",2,22
"2022-05-08",2,20
"2022-05-09",2,10
"2022-05-10",2,9
"2022-05-11",2,8
"2022-05-12",2,6
"2022-05-13",3,3
"2022-05-14",3,2
"2022-05-15",4,2
"2022-05-16",3,1
"2022-05-17",3,1
"2022-05-18",3,0
"2022-05-19",3,0
"2022-05-20",3,0
"2022-05-21",3,0
"2022-05-22",4,0
"2022-05-23",4,0
"2022-05-24",3,0
"2022-05-25",3,0
"2022-05-26",3,0
"2022-05-27",3,0
"2022-05-28",3,0
"2022-05-29",4,0
"2022-05-30",3,0
"2022-05-31",2,0
"2022-06-01",3,0
"2022-06-02",2,0
"2022-06-03",2,0
"2022-06-04",2,0
"2022-06-05",2,0
"2022-06-06",2,0
"2022-06-07",2,0
"2022-06-08",2,0
"2022-06-09",1,0
"2022-06-10",1,0
"2022-06-11",1,0
"2022-06-12",1,0
"2022-06-13",1,0
"2022-06-14",1,0
"2022-06-15",1,0
"2022-06-16",1,0
"2022-06-17",0,0
"2022-06-18",1,0
"2022-06-19",1,0
"2022-06-20",1,0
"2022-06-21",1,0
"2022-06-22",1,0
"2022-06-23",1,0
"2022-06-24",1,0
"2022-06-25",0,0
"2022-06-26",0,0
"2022-06-27",1,0
"2022-06-28",0,0
"2022-06-29",1,0
"2022-06-30",1,0
"2022-07-01",0,0
"2022-07-02",0,0
"2022-07-03",0,0
"2022-07-04",0,0
"2022-07-05",0,0
"2022-07-06",0,0
"2022-07-07",1,0
"2022-07-08",0,0
"2022-07-09",0,0
"2022-07-10",0,0
