"시점","국가별",산림면적 (1000km²),멸종위기종(포유동물) (종),멸종위기종(조류) (종),멸종위기종(어류) (종),멸종위기종(고등식물) (종),육상보호구역 (%),해양보호구역 (%)
"1998","아랍에미리트",3,-,-,-,-,0.3,0.3
"1998","우즈베키스탄",29,-,-,-,-,2.3,-
"1998","베트남",113,-,-,-,-,5.8,0.5
"1998","예멘",5,-,-,-,-,0.5,1.8
"1998","북아메리카",,,,,,,
"1998","버뮤다",0,-,-,-,-,5.4,4.8
"1998","캐나다",3479,-,-,-,-,5.7,0.8
"1998","그린란드",0,-,-,-,-,40.4,36.1
"1998","멕시코",688,-,-,-,-,4.9,7.6
"1998","미국",3033,-,-,-,-,12.4,25.5
"1998","남아메리카",,,,,,,
"1998","앤티가바부다",0,-,-,-,-,6.6,0.5
"1998","아르헨티나",337,-,-,-,-,5.5,1.1
"1998","아루바",0,-,-,-,-,0.1,-
"1998","바하마",5,-,-,-,-,7.4,0.2
"1998","바베이도스",0,-,-,-,-,0.1,0.1
"1998","벨리즈",15,-,-,-,-,24.2,8.8
"1998","볼리비아",556,-,-,-,-,18.0,-
"1998","브라질",5587,-,-,-,-,14.2,13.0
"1998","영국령버진아일랜드",0,-,-,-,-,-,-
"1998","케이맨제도",0,-,-,-,-,8.7,1.1
"1998","칠레",157,-,-,-,-,16.6,3.5
"1998","콜롬비아",632,-,-,-,-,19.4,5.2
"1998","코스타리카",29,-,-,-,-,20.8,12.1
"1998","쿠바",24,-,-,-,-,4.3,1.3
"1998","도미니카연방",0,-,-,-,-,21.4,0.1
"1998","도미니카공화국",19,-,-,-,-,22.2,30.4
"1998","에콰도르",139,-,-,-,-,24.9,74.9
"1998","엘살바도르",7,-,-,-,-,0.4,3.1
"1998","그레나다",0,-,-,-,-,1.7,-
"1998","과테말라",43,-,-,-,-,28.9,0.3
"1998","가이아나",186,-,-,-,-,5.0,-
"1998","아이티",4,-,-,-,-,0.3,-
"1998","온두라스",68,-,-,-,-,15.0,0.3
"1998","자메이카",5,-,-,-,-,14.9,0.7
"1998","니카라과",56,-,-,-,-,29.3,13.4
"1998","파나마",45,-,-,-,-,17.7,4.0
"1998","파라과이",235,-,-,-,-,4.4,-
"1998","페루",755,-,-,-,-,5.5,2.8
"1998","푸에르토리코",4,-,-,-,-,10.1,1.5
"1998","세인트키츠네비스",0,-,-,-,-,3.6,0.5
"1998","세인트루시아",0,-,-,-,-,14.3,0.1
"1998","세인트빈센트그레나딘",0,-,-,-,-,10.9,0.6
"1998","수리남",153,-,-,-,-,11.4,22.9
"1998","트리니다드토바고",2,-,-,-,-,31.2,2.8
"1998","터크스케이커스제도",0,-,-,-,-,42.9,1.0
"1998","미국령버진아일랜드",0,-,-,-,-,15.2,0.4
"1998","우루과이",13,-,-,-,-,0.3,0.2
"1998","베네수엘라",497,-,-,-,-,53.8,15.3
"1998","유럽",,,,,,,
"1998","알바니아",8,-,-,-,-,5.1,1.0
"1998","안도라",0,-,-,-,-,5.6,-
"1998","오스트리아",38,-,-,-,-,22.6,-
"1998","벨라루스",82,-,-,-,-,7.2,-
"1998","벨기에",8,-,-,-,-,5.7,0.0
"1998","보스니아-헤르체고비나",21,-,-,-,-,0.5,0.7
"1998","불가리아",34,-,-,-,-,4.1,0.4
"1998","샤넬군도",0,-,-,-,-,9.3,0.0
"1998","크로아티아",19,-,-,-,-,8.4,1.3
"1998","체코",26,-,-,-,-,15.0,-
"1998","덴마크",6,-,-,-,-,4.4,3.0
"1998","에스토니아",22,-,-,-,-,19.2,26.1
"1998","페로제도",0,-,-,-,-,-,-
"1998","핀란드",223,-,-,-,-,8.8,3.9
"1998","프랑스",151,-,-,-,-,13.3,0.5
"1998","독일",113,-,-,-,-,37.4,36.1
"1998","지브롤터",0,-,-,-,-,-,-
"1998","그리스",35,-,-,-,-,7.2,2.3
"1998","헝가리",19,-,-,-,-,5.1,-
"1998","아이슬란드",0,-,-,-,-,9.9,3.8
"1998","아일랜드",6,-,-,-,-,1.0,0.1
"1998","맨섬",0,-,-,-,-,-,-
"1998","이탈리아",82,-,-,-,-,8.9,1.4
"1998","라트비아",32,-,-,-,-,13.9,6.3
"1998","리히텐슈타인",0,-,-,-,-,38.9,-
"1998","리투아니아",20,-,-,-,-,11.4,10.8
"1998","룩셈부르크",1,-,-,-,-,12.7,-
"1998","북마케도니아",9,-,-,-,-,4.8,-
"1998","몰타",0,-,-,-,-,14.3,0.4
"1998","몰도바",3,-,-,-,-,1.4,-
"1998","모나코",0,-,-,-,-,23.7,0.1
"1998","네덜란드",4,-,-,-,-,11.7,19.7
"1998","노르웨이",121,-,-,-,-,8.1,1.4
"1998","폴란드",90,-,-,-,-,22.3,4.0
"1998","포르투갈",33,-,-,-,-,7.5,2.1
"1998","루마니아",64,-,-,-,-,4.7,33.3
"1998","러시아",8092,-,-,-,-,8.9,10.7
"1998","산마리노",0,-,-,-,-,-,-
"1998","슬로바키아",19,-,-,-,-,21.1,-
"1998","슬로베니아",12,-,-,-,-,8.9,0.3
"1998","스페인",165,-,-,-,-,8.6,3.0
"1998","스웨덴",281,-,-,-,-,7.5,4.8
"1998","스위스",12,-,-,-,-,22.2,-
"1998","우크라이나",95,-,-,-,-,3.5,4.9
"1998","영국",29,-,-,-,-,24.0,5.3
"1998","유로지역",967,-,-,-,-,-,-
"1998","몬테네그로",6,-,-,-,-,13.2,0.9
"1998","세르비아",25,-,-,-,-,5.4,-
"1998","아프리카",,,,,,,
"1998","알제리",16,-,-,-,-,6.3,0.2
"1998","앙골라",780,-,-,-,-,12.4,0.1
"1998","베냉",43,-,-,-,-,23.8,-
"1998","보츠와나",179,-,-,-,-,30.9,-
"1998","부르키나파소",73,-,-,-,-,13.9,-
"1998","부룬디",2,-,-,-,-,4.7,-
"1998","카메룬",218,-,-,-,-,7.8,0.4
"1998","카보베르데",0,-,-,-,-,2.5,-
"1998","중앙아프리카공화국",230,-,-,-,-,17.7,-
"1998","차드",64,-,-,-,-,9.4,-
"1998","코모로",0,-,-,-,-,-,-
"1998","콩고",222,-,-,-,-,6.8,-
"1998","콩고민주공화국",1452,-,-,-,-,10.0,4.4
"1998","코트디부아르",56,-,-,-,-,22.6,0.1
"1998","지부티",0,-,-,-,-,0.0,0.2
"1998","이집트",1,-,-,-,-,4.3,5.9
"1998","적도기니",26,-,-,-,-,7.3,0.0
"1998","에리트레아",11,-,-,-,-,4.9,-
"1998","에티오피아",187,-,-,-,-,17.7,-
"1998","가봉",237,-,-,-,-,5.5,0.2
"1998","감비아",4,-,-,-,-,1.5,0.1
"1998","가나",91,-,-,-,-,14.7,0.0
"1998","기니",70,-,-,-,-,6.8,-
"1998","기니비사우",22,-,-,-,-,11.7,45.1
"1998","케냐",39,-,-,-,-,11.8,6.0
"1998","레소토",0,-,-,-,-,0.5,-
"1998","라이베리아",83,-,-,-,-,1.6,-
"1998","리비아",2,-,-,-,-,0.1,0.1
"1998","마다가스카르",132,-,-,-,-,3.1,0.1
"1998","말라위",32,-,-,-,-,15.0,-
"1998","말리",133,-,-,-,-,2.3,-
"1998","모리타니",4,-,-,-,-,0.5,32.1
"1998","모리셔스",0,-,-,-,-,4.4,0.3
"1998","모로코",55,-,-,-,-,1.6,1.3
"1998","모잠비크",416,-,-,-,-,14.8,1.8
"1998","나미비아",82,-,-,-,-,14.4,0.5
"1998","니제르",15,-,-,-,-,7.1,-
"1998","나이지리아",252,-,-,-,-,12.8,0.2
"1998","르완다",3,-,-,-,-,9.9,-
"1998","상투메프린시페",1,-,-,-,-,-,-
"1998","세네갈",89,-,-,-,-,24.1,5.8
"1998","세이셸",0,-,-,-,-,42.0,0.5
"1998","시에라리온",30,-,-,-,-,5.0,-
"1998","소말리아",77,-,-,-,-,0.6,0.0
"1998","남아프리카공화국",179,-,-,-,-,6.9,0.7
"1998","수단",-,-,-,-,-,4.2,0.1
"1998","에스와티니",5,-,-,-,-,3.0,-
"1998","탄자니아",544,-,-,-,-,27.0,6.7
"1998","토고",13,-,-,-,-,11.3,-
"1998","튀니지",7,-,-,-,-,1.3,1.2
"1998","우간다",32,-,-,-,-,8.5,-
"1998","잠비아",471,-,-,-,-,36.0,-
"1998","짐바브웨",185,-,-,-,-,18.1,-
"1998","오세아니아",,,,,,,
"1998","미국령사모아",0,-,-,-,-,0.3,2.1
"1998","오스트레일리아",1322,-,-,-,-,8.3,11.8
"1998","피지",10,-,-,-,-,1.3,0.1
"1998","프랑스령폴리네시아",1,-,-,-,-,0.4,0.1
"1998","괌",0,-,-,-,-,26.4,0.8
"1998","키리바시",0,-,-,-,-,5.0,0.3
"1998","마셜제도",0,-,-,-,-,-,-
"1998","미크로네시아",1,-,-,-,-,3.9,0.1
"1998","나우루",0,-,-,-,-,-,-
"1998","뉴칼레도니아",8,-,-,-,-,5.5,0.3
"1998","뉴질랜드",98,-,-,-,-,25.9,0.4
"1998","북마리아나제도",0,-,-,-,-,0.8,0.0
"1998","팔라우",0,-,-,-,-,0.9,1.9
"1998","파푸아뉴기니",363,-,-,-,-,3.1,0.3
"1998","사모아",2,-,-,-,-,2.5,0.6
"1998","솔로몬제도",25,-,-,-,-,0.1,0.1
"1998","통가",0,-,-,-,-,9.6,9.4
"1998","투발루",0,-,-,-,-,0.4,0.2
"1998","바누아투",4,-,-,-,-,4.2,0.0
"1999","아시아",,,,,,,
"1999","대한민국",65,-,-,-,-,2.2,3.5
"1999","아프가니스탄",12,-,-,-,-,0.4,-
"1999","아르메니아",3,-,-,-,-,6.9,-
"1999","아제르바이잔",10,-,-,-,-,6.8,-
"1999","바레인",0,-,-,-,-,1.4,-
"1999","방글라데시",19,-,-,-,-,1.8,0.5
"1999","부탄",26,-,-,-,-,28.4,-
"1999","브루나이",4,-,-,-,-,44.0,1.4
"1999","캄보디아",108,-,-,-,-,22.9,0.4
"1999","중국",1750,-,-,-,-,14.9,0.9
"1999","키프로스",2,-,-,-,-,10.5,0.6
"1999","동티모르",10,-,-,-,-,-,-
"1999","조지아",28,-,-,-,-,3.7,0.5
"1999","홍콩",-,-,-,-,-,41.8,-
"1999","인도",672,-,-,-,-,5.0,1.7
"1999","인도네시아",1030,-,-,-,-,13.6,1.0
"1999","이란",93,-,-,-,-,5.8,1.0
"1999","이라크",8,-,-,-,-,0.1,-
"1999","이스라엘",2,-,-,-,-,17.8,0.5
"1999","일본",249,-,-,-,-,15.9,5.0
"1999","요르단",1,-,-,-,-,1.9,30.0
"1999","카자흐스탄",32,-,-,-,-,2.5,-
"1999","북한",65,-,-,-,-,4.3,0.1
"1999","쿠웨이트",0,-,-,-,-,1.6,0.0
"1999","키르기스스탄",12,-,-,-,-,6.9,-
"1999","라오스",175,-,-,-,-,16.3,-
"1999","레바논",1,-,-,-,-,0.5,0.1
"1999","말레이시아",198,-,-,-,-,18.0,2.0
"1999","몰디브",0,-,-,-,-,-,-
"1999","몽골",143,-,-,-,-,12.2,-
"1999","미얀마",353,-,-,-,-,4.5,0.3
"1999","네팔",58,-,-,-,-,17.0,-
"1999","오만",0,-,-,-,-,10.7,1.3
"1999","파키스탄",46,-,-,-,-,10.1,1.8
"1999","필리핀",74,-,-,-,-,9.8,2.2
"1999","카타르",0,-,-,-,-,2.3,0.3
"1999","사우디아라비아",10,-,-,-,-,31.3,3.4
"1999","싱가포르",0,-,-,-,-,5.2,1.4
"1999","스리랑카",22,-,-,-,-,21.5,1.1
"1999","시리아",4,-,-,-,-,0.3,0.6
"1999","타지키스탄",4,-,-,-,-,4.1,-
"1999","태국",190,-,-,-,-,19.2,4.4
"1999","튀르키예",201,-,-,-,-,1.9,2.4
"1999","투르크메니스탄",41,-,-,-,-,3.0,-
"1999","아랍에미리트",3,-,-,-,-,0.3,0.3
"1999","우즈베키스탄",29,-,-,-,-,2.3,-
"1999","베트남",115,-,-,-,-,6.0,0.5
"1999","예멘",5,-,-,-,-,0.5,1.8
"1999","북아메리카",,,,,,,
"1999","버뮤다",0,-,-,-,-,5.4,4.8
"1999","캐나다",3478,-,-,-,-,5.8,0.8
"1999","그린란드",0,-,-,-,-,40.4,36.1
"1999","멕시코",686,-,-,-,-,5.0,7.7
"1999","미국",3034,-,-,-,-,12.4,25.7
"1999","남아메리카",,,,,,,
"1999","앤티가바부다",0,-,-,-,-,6.6,0.5
"1999","아르헨티나",336,-,-,-,-,5.5,1.1
"1999","아루바",0,-,-,-,-,0.1,-
"1999","바하마",5,-,-,-,-,7.4,0.2
"1999","바베이도스",0,-,-,-,-,0.1,0.1
"1999","벨리즈",15,-,-,-,-,24.2,8.8
"1999","볼리비아",554,-,-,-,-,18.0,-
"1999","브라질",5549,-,-,-,-,15.1,13.4
"1999","영국령버진아일랜드",0,-,-,-,-,-,-
"1999","케이맨제도",0,-,-,-,-,8.7,1.1
"1999","칠레",158,-,-,-,-,16.6,3.5
"1999","콜롬비아",630,-,-,-,-,19.4,5.2
"1999","코스타리카",29,-,-,-,-,20.8,12.2
"1999","쿠바",24,-,-,-,-,4.3,1.3
"1999","도미니카연방",0,-,-,-,-,21.4,0.1
"1999","도미니카공화국",19,-,-,-,-,22.2,30.4
"1999","에콰도르",138,-,-,-,-,24.9,74.9
"1999","엘살바도르",7,-,-,-,-,0.4,3.1
"1999","그레나다",0,-,-,-,-,1.7,0.0
"1999","과테말라",43,-,-,-,-,29.0,0.3
"1999","가이아나",186,-,-,-,-,5.0,-
"1999","아이티",4,-,-,-,-,0.3,-
"1999","온두라스",68,-,-,-,-,17.9,0.3
"1999","자메이카",5,-,-,-,-,18.9,4.2
"1999","니카라과",55,-,-,-,-,36.7,15.7
"1999","파나마",45,-,-,-,-,17.7,4.0
"1999","파라과이",232,-,-,-,-,4.4,-
"1999","페루",754,-,-,-,-,5.5,2.8
"1999","푸에르토리코",4,-,-,-,-,10.1,1.6
"1999","세인트키츠네비스",0,-,-,-,-,3.6,0.5
"1999","세인트루시아",0,-,-,-,-,14.3,0.1
"1999","세인트빈센트그레나딘",0,-,-,-,-,10.9,0.6
"1999","수리남",153,-,-,-,-,11.4,22.9
"1999","트리니다드토바고",2,-,-,-,-,31.2,2.8
"1999","터크스케이커스제도",0,-,-,-,-,42.9,1.0
"1999","미국령버진아일랜드",0,-,-,-,-,15.2,0.6
"1999","우루과이",13,-,-,-,-,0.3,0.2
"1999","베네수엘라",494,-,-,-,-,53.8,15.3
"1999","유럽",,,,,,,
"1999","알바니아",8,-,-,-,-,7.1,1.0
"1999","안도라",0,-,-,-,-,5.6,-
"1999","오스트리아",38,-,-,-,-,22.8,-
"1999","벨라루스",82,-,-,-,-,7.2,-
"1999","벨기에",8,-,-,-,-,6.1,0.0
"1999","보스니아-헤르체고비나",21,-,-,-,-,0.5,0.7
"1999","불가리아",34,-,-,-,-,4.1,0.4
"1999","샤넬군도",0,-,-,-,-,9.3,0.0
"1999","크로아티아",19,-,-,-,-,10.0,1.3
"1999","체코",26,-,-,-,-,15.0,-
"1999","덴마크",6,-,-,-,-,4.4,3.0
"1999","에스토니아",22,-,-,-,-,19.2,26.1
"1999","페로제도",0,-,-,-,-,-,-
"1999","핀란드",224,-,-,-,-,8.8,3.9
"1999","프랑스",152,-,-,-,-,13.8,1.6
"1999","독일",113,-,-,-,-,38.1,36.1
"1999","지브롤터",0,-,-,-,-,-,-
"1999","그리스",36,-,-,-,-,7.3,2.3
"1999","헝가리",19,-,-,-,-,5.1,-
"1999","아이슬란드",0,-,-,-,-,9.9,3.8
"1999","아일랜드",6,-,-,-,-,1.0,0.1
"1999","맨섬",0,-,-,-,-,-,-
"1999","이탈리아",83,-,-,-,-,9.3,1.8
"1999","라트비아",32,-,-,-,-,15.3,6.7
"1999","리히텐슈타인",0,-,-,-,-,38.9,-
"1999","리투아니아",20,-,-,-,-,11.4,10.8
"1999","룩셈부르크",1,-,-,-,-,19.9,-
"1999","북마케도니아",10,-,-,-,-,4.8,-
"1999","몰타",0,-,-,-,-,14.6,0.4
"1999","몰도바",3,-,-,-,-,1.4,-
"1999","모나코",0,-,-,-,-,23.7,0.1
"1999","네덜란드",4,-,-,-,-,11.8,19.7
"1999","노르웨이",121,-,-,-,-,8.2,1.4
"1999","폴란드",90,-,-,-,-,22.3,4.1
"1999","포르투갈",33,-,-,-,-,7.6,2.1
"1999","루마니아",64,-,-,-,-,4.7,33.3
"1999","러시아",8092,-,-,-,-,9.0,10.7
"1999","산마리노",0,-,-,-,-,-,-
"1999","슬로바키아",19,-,-,-,-,21.1,-
"1999","슬로베니아",12,-,-,-,-,9.0,0.3
"1999","스페인",168,-,-,-,-,8.6,3.3
"1999","스웨덴",282,-,-,-,-,7.5,4.9
"1999","스위스",12,-,-,-,-,22.2,-
"1999","우크라이나",95,-,-,-,-,3.5,4.9
"1999","영국",29,-,-,-,-,24.0,5.4
"1999","유로지역",973,-,-,-,-,-,-
"1999","몬테네그로",6,-,-,-,-,13.2,0.9
"1999","세르비아",25,-,-,-,-,5.4,-
"1999","아프리카",,,,,,,
"1999","알제리",16,-,-,-,-,6.3,0.2
"1999","앙골라",779,-,-,-,-,12.4,0.1
"1999","베냉",42,-,-,-,-,23.8,-
"1999","보츠와나",177,-,-,-,-,30.9,-
"1999","부르키나파소",73,-,-,-,-,13.9,-
"1999","부룬디",2,-,-,-,-,4.7,-
"1999","카메룬",217,-,-,-,-,7.8,0.4
"1999","카보베르데",0,-,-,-,-,2.5,-
"1999","중앙아프리카공화국",229,-,-,-,-,17.7,-
"1999","차드",64,-,-,-,-,9.4,-
"1999","코모로",0,-,-,-,-,-,-
"1999","콩고",222,-,-,-,-,7.8,32.8
"1999","콩고민주공화국",1446,-,-,-,-,10.0,4.4
"1999","코트디부아르",54,-,-,-,-,22.6,0.1
"1999","지부티",0,-,-,-,-,0.0,0.2
"1999","이집트",1,-,-,-,-,4.3,5.9
"1999","적도기니",26,-,-,-,-,7.3,0.0
"1999","에리트레아",11,-,-,-,-,4.9,-
"1999","에티오피아",186,-,-,-,-,17.7,-
"1999","가봉",237,-,-,-,-,5.7,0.5
"1999","감비아",4,-,-,-,-,1.5,0.1
"1999","가나",90,-,-,-,-,14.7,0.0
"1999","기니",70,-,-,-,-,6.8,-
"1999","기니비사우",22,-,-,-,-,11.7,45.1
"1999","케냐",40,-,-,-,-,11.8,6.0
"1999","레소토",0,-,-,-,-,0.5,-
"1999","라이베리아",83,-,-,-,-,1.6,-
"1999","리비아",2,-,-,-,-,0.1,0.1
"1999","마다가스카르",131,-,-,-,-,3.1,0.1
"1999","말라위",31,-,-,-,-,15.0,-
"1999","말리",133,-,-,-,-,2.3,-
"1999","모리타니",4,-,-,-,-,0.5,32.1
"1999","모리셔스",0,-,-,-,-,4.4,0.3
"1999","모로코",55,-,-,-,-,1.6,1.3
"1999","모잠비크",414,-,-,-,-,14.8,1.8
"1999","나미비아",81,-,-,-,-,14.5,0.5
"1999","니제르",14,-,-,-,-,7.1,-
"1999","나이지리아",251,-,-,-,-,12.8,0.2
"1999","르완다",3,-,-,-,-,9.9,-
"1999","상투메프린시페",1,-,-,-,-,-,-
"1999","세네갈",89,-,-,-,-,24.1,5.8
"1999","세이셸",0,-,-,-,-,42.0,0.5
"1999","시에라리온",29,-,-,-,-,5.0,-
"1999","소말리아",76,-,-,-,-,0.6,0.0
"1999","남아프리카공화국",178,-,-,-,-,6.9,0.7
"1999","수단",-,-,-,-,-,4.2,0.1
"1999","에스와티니",5,-,-,-,-,3.0,-
"1999","탄자니아",540,-,-,-,-,27.0,6.7
"1999","토고",13,-,-,-,-,11.3,-
"1999","튀니지",7,-,-,-,-,1.3,1.2
"1999","우간다",32,-,-,-,-,8.5,-
"1999","잠비아",471,-,-,-,-,36.0,-
"1999","짐바브웨",184,-,-,-,-,18.1,-
"1999","오세아니아",,,,,,,
"1999","미국령사모아",0,-,-,-,-,0.3,2.1
"1999","오스트레일리아",1320,-,-,-,-,8.5,12.3
"1999","피지",10,-,-,-,-,1.3,0.1
"1999","프랑스령폴리네시아",1,-,-,-,-,0.4,0.1
"1999","괌",0,-,-,-,-,26.4,0.8
"1999","키리바시",0,-,-,-,-,16.8,0.8
"1999","마셜제도",0,-,-,-,-,3.1,0.6
"1999","미크로네시아",1,-,-,-,-,4.0,0.1
"1999","나우루",0,-,-,-,-,-,-
"1999","뉴칼레도니아",8,-,-,-,-,5.5,0.3
"1999","뉴질랜드",98,-,-,-,-,25.9,0.4
"1999","북마리아나제도",0,-,-,-,-,0.8,0.0
"1999","팔라우",0,-,-,-,-,0.9,1.9
"1999","파푸아뉴기니",363,-,-,-,-,3.1,0.3
"1999","사모아",2,-,-,-,-,2.5,0.6
"1999","솔로몬제도",25,-,-,-,-,0.1,0.1
"1999","통가",0,-,-,-,-,9.6,9.4
"1999","투발루",0,-,-,-,-,0.4,0.2
"1999","바누아투",4,-,-,-,-,4.2,0.0
"2000","아시아",,,,,,,
"2000","대한민국",65,-,-,-,-,5.2,3.4
"2000","아프가니스탄",12,-,-,-,-,0.4,0.0
"2000","아르메니아",3,-,-,-,-,18.6,0.0
"2000","아제르바이잔",10,-,-,-,-,5.8,0.0
"2000","바레인",0,-,-,-,-,2.8,0.8
"2000","방글라데시",19,-,-,-,-,4.3,2.1
"2000","부탄",26,-,-,-,-,35.1,0.0
"2000","브루나이",4,-,-,-,-,44.1,1.5
"2000","캄보디아",108,-,-,-,-,23.1,0.4
"2000","중국",1770,-,-,-,-,15.5,1.1
"2000","키프로스",2,-,-,-,-,10.5,0.2
"2000","동티모르",9,-,-,-,-,3.4,0.0
"2000","조지아",28,-,-,-,-,3.8,2.4
"2000","홍콩",-,-,-,-,-,41.8,0.0
"2000","인도",676,-,-,-,-,5.1,1.7
"2000","인도네시아",1013,-,-,-,-,13.6,1.0
"2000","이란",93,-,-,-,-,6.0,1.9
"2000","이라크",8,-,-,-,-,0.1,0.0
"2000","이스라엘",2,-,-,-,-,15.0,0.2
"2000","일본",249,-,-,-,-,18.7,5.0
"2000","요르단",1,-,-,-,-,1.9,30.2
"2000","카자흐스탄",32,-,-,-,-,2.5,0.0
"2000","북한",65,-,-,-,-,2.5,0.1
"2000","쿠웨이트",0,-,-,-,-,2.0,0.0
"2000","키르기스스탄",12,-,-,-,-,6.9,0.0
"2000","라오스",174,-,-,-,-,16.6,0.0
"2000","레바논",1,-,-,-,-,2.3,0.0
"2000","마카오",-,-,-,-,-,0.0,0.0
"2000","말레이시아",197,-,-,-,-,18.2,2.0
"2000","몰디브",0,-,-,-,-,0.3,0.2
"2000","몽골",143,-,-,-,-,13.1,0.0
"2000","미얀마",349,-,-,-,-,3.7,0.2
"2000","네팔",58,-,-,-,-,18.6,0.0
"2000","오만",0,-,-,-,-,10.7,1.3
"2000","파키스탄",45,-,-,-,-,10.2,2.0
"2000","필리핀",73,-,-,-,-,10.8,2.4
"2000","카타르",0,-,-,-,-,2.4,0.4
"2000","사우디아라비아",10,-,-,-,-,31.3,3.4
"2000","싱가포르",0,-,-,-,-,5.6,1.4
"2000","스리랑카",22,-,-,-,-,21.5,1.1
"2000","시리아",4,-,-,-,-,0.4,0.6
"2000","타지키스탄",4,-,-,-,-,18.5,0.0
"2000","태국",190,-,-,-,-,16.8,4.2
"2000","튀르키예",201,-,-,-,-,0.2,0.3
"2000","투르크메니스탄",41,-,-,-,-,3.0,0.0
"2000","아랍에미리트",3,-,-,-,-,12.6,0.3
"2000","우즈베키스탄",30,-,-,-,-,2.3,0.0
"2000","베트남",118,-,-,-,-,6.1,0.5
"2000","예멘",5,-,-,-,-,0.5,2.1
"2000","북아메리카",,,,,,,
"2000","버뮤다",0,-,-,-,-,5.8,5.1
"2000","캐나다",3478,-,-,-,-,7.1,0.8
"2000","그린란드",0,-,-,-,-,40.8,36.5
"2000","멕시코",684,-,-,-,-,7.7,12.2
"2000","미국",3035,-,-,-,-,13.8,28.3
"2000","남아메리카",,,,,,,
"2000","앤티가바부다",0,-,-,-,-,0.0,0.2
"2000","아르헨티나",334,-,-,-,-,5.7,5.1
"2000","아루바",0,-,-,-,-,0.5,0.0
"2000","바하마",5,-,-,-,-,7.3,0.2
"2000","바베이도스",0,-,-,-,-,0.1,0.1
"2000","벨리즈",15,-,-,-,-,35.2,13.7
"2000","볼리비아",551,-,-,-,-,18.8,0.0
"2000","브라질",5511,-,-,-,-,14.2,13.5
"2000","영국령버진아일랜드",0,-,-,-,-,8.8,2.1
"2000","케이맨제도",0,-,-,-,-,8.7,1.1
"2000","칠레",158,-,-,-,-,17.1,3.3
"2000","콜롬비아",627,-,-,-,-,19.9,5.8
"2000","코스타리카",29,-,-,-,-,24.7,15.4
"2000","쿠바",24,-,-,-,-,4.5,1.3
"2000","도미니카연방",0,-,-,-,-,21.6,0.1
"2000","도미니카공화국",20,-,-,-,-,22.2,30.4
"2000","에콰도르",137,-,-,-,-,25.4,75.0
"2000","엘살바도르",7,-,-,-,-,0.1,0.0
"2000","그레나다",0,-,-,-,-,1.7,0.0
"2000","과테말라",42,-,-,-,-,29.5,12.7
"2000","가이아나",186,-,-,-,-,2.1,0.0
"2000","아이티",4,-,-,-,-,0.3,0.0
"2000","온두라스",68,-,-,-,-,21.5,2.9
"2000","자메이카",5,-,-,-,-,15.8,4.5
"2000","니카라과",54,-,-,-,-,36.7,15.7
"2000","파나마",44,-,-,-,-,19.0,4.7
