과목 및 유형,시점,서울,광역시,중소도시,읍면지역
음  악,2017,3.3,2.2,2.4,1.8
음  악,2018,3.4,2.2,2.5,1.6
음  악,2019,4.1,2.4,2.7,1.8
음  악,2020,3.1,1.7,1.9,1.3
음  악,2021,3.6,2.5,2.6,2
미  술,2007,1.1,0.7,0.8,0.3
미  술,2008,1.4,0.7,0.8,0.4
미  술,2009,1.1,0.6,0.8,0.5
미  술,2010,1.1,0.7,0.7,0.5
미  술,2011,0.9,0.7,0.8,0.5
미  술,2012,0.9,0.8,0.7,0.4
미  술,2013,1.3,0.8,0.9,0.5
미  술,2014,1.2,0.8,0.9,0.5
미  술,2015,1.3,0.9,0.9,0.6
미  술,2016,1.3,1.1,1.1,0.5
미  술,2017,1.7,1.1,1.1,0.6
미  술,2018,1.8,1.3,1.3,0.7
미  술,2019,2,1.4,1.4,0.7
미  술,2020,1.6,1,1.1,0.7
미  술,2021,2.4,1.5,1.5,1
체  육,2007,1.3,1.3,1.5,1
체  육,2008,1.3,1.2,1.4,0.9
체  육,2009,2,1.2,1.3,1.2
체  육,2010,1.9,1.1,1.4,1.2
체  육,2011,2,1.3,1.5,1.3
체  육,2012,1.6,1.4,1.3,1.1
체  육,2013,1.8,1.4,1.6,1.2
체  육,2014,2.1,1.5,1.9,1.7
체  육,2015,2.6,1.8,2.1,1.6
체  육,2016,2.8,2.3,2.5,1.9
체  육,2017,3.5,2.8,2.9,2
체  육,2018,3.9,2.9,3.2,2.2
체  육,2019,4.3,3.3,3.6,2.4
체  육,2020,3.2,2.4,2.4,2.1
체  육,2021,4.4,3.3,3.5,2.8
취미·교양,2007,0.3,0.3,0.3,0.2
취미·교양,2008,0.3,0.4,0.4,0.2
취미·교양,2009,0.4,0.3,0.3,0.2
취미·교양,2010,0.4,0.3,0.3,0.2
취미·교양,2011,0.3,0.4,0.3,0.3
취미·교양,2012,0.5,0.4,0.4,0.3
취미·교양,2013,0.4,0.4,0.5,0.3
취미·교양,2014,0.5,0.4,0.5,0.3
취미·교양,2015,0.6,0.4,0.5,0.3
취미·교양,2016,0.7,0.5,0.6,0.4
취미·교양,2017,0.8,0.7,0.8,0.6
취미·교양,2018,0.9,0.7,0.8,0.5
취미·교양,2019,0.8,0.7,0.8,0.5
취미·교양,2020,0.6,0.5,0.6,0.4
취미·교양,2021,0.8,0.6,0.6,0.6
과목: 취업관련 사교육,2007,0.1,0.1,0.1,0
과목: 취업관련 사교육,2008,0.1,0.1,0.1,0
과목: 취업관련 사교육,2009,0.1,0.1,0.1,0.1
과목: 취업관련 사교육,2010,0.1,0.1,0,0.1
과목: 취업관련 사교육,2011,0.1,0.1,0.1,0.1
과목: 취업관련 사교육,2012,0.1,0.1,0.1,0
과목: 취업관련 사교육,2013,0,0.1,0.1,0
과목: 취업관련 사교육,2014,0.1,0.1,0.1,0
과목: 취업관련 사교육,2015,0.1,0.1,0.1,0.1
과목: 취업관련 사교육,2016,0.1,0.1,0.1,0.1
과목: 취업관련 사교육,2017,0.2,0.2,0.2,0.2
과목: 취업관련 사교육,2018,0.2,0.1,0.1,0.1
과목: 취업관련 사교육,2019,0.1,0.1,0.1,0.2
과목: 취업관련 사교육,2020,0.2,0.1,0.1,0.1
과목: 취업관련 사교육,2021,0.2,0.2,0.1,0.1
과목: 진로·진학 학습상담,2017,0.1,0.1,0.1,0
과목: 진로·진학 학습상담,2018,0.1,0.1,0.1,0.1
과목: 진로·진학 학습상담,2019,0.2,0.1,0.1,0.1
과목: 진로·진학 학습상담,2020,0.2,0.1,0.1,0.1
과목: 진로·진학 학습상담,2021,0.2,0.1,0.1,0.1
유형: 일반교과 사교육,2007,23.5,17.8,17.9,9.2
유형: 일반교과 사교육,2008,24.2,18.6,19.5,9.7
유형: 일반교과 사교육,2009,26.6,18.6,20.1,12
유형: 일반교과 사교육,2010,25.6,18.8,19.9,12.3
유형: 일반교과 사교육,2011,26.3,18.3,19.6,12.2
유형: 일반교과 사교육,2012,26.1,18.8,19.2,11.5
유형: 일반교과 사교육,2013,26.8,18.9,18.8,11.3
유형: 일반교과 사교육,2014,26.8,18.7,18.8,11.7
유형: 일반교과 사교육,2015,26.8,18.3,18.6,12
유형: 일반교과 사교육,2016,27.1,18.7,18.5,11.9
유형: 일반교과 사교육,2017,29.4,19.9,18.7,12.5
유형: 일반교과 사교육,2018,30.7,20.8,21,12.8
유형: 일반교과 사교육,2019,33.5,23.1,23.3,14.7
유형: 일반교과 사교육,2020,36.5,23.4,23.1,14.6
유형: 일반교과 사교육,2021,41.3,27.6,27.4,18.1
개인과외,2007,4.2,2.5,2.8,1
개인과외,2008,4.3,2.6,3,1.2
개인과외,2009,5.3,3.2,3.2,1.5
개인과외,2010,4.9,3.1,3.1,1.6
개인과외,2011,5.4,3,3.3,1.7
개인과외,2012,4.8,3.5,3.2,1.6
개인과외,2013,4.9,3.3,3.2,1.7
개인과외,2014,4.8,3.6,3,1.7
개인과외,2015,4.9,3.5,3.2,2.1
개인과외,2016,4.2,3.3,2.9,2
개인과외,2017,4.3,2.9,2.6,1.8
개인과외,2018,4,3.2,3,1.8
개인과외,2019,4.6,3.1,2.9,1.8
개인과외,2020,5.3,3.3,3,2
개인과외,2021,5.9,3.6,3.6,2.4
그룹과외,2007,2.1,2.1,2.1,1
그룹과외,2008,1.9,1.9,2,1.1
그룹과외,2009,2,2.1,2.3,1.7
그룹과외,2010,2.1,2.1,2.5,1.7
그룹과외,2011,2.2,2.1,2.3,1.8
그룹과외,2012,2.4,2.2,2.4,1.8
그룹과외,2013,2.1,2.2,2.4,1.5
그룹과외,2014,2.1,2.1,2.4,1.6
그룹과외,2015,2.2,2.2,2.3,1.9
그룹과외,2016,1.8,1.8,2.1,1.7
그룹과외,2017,1.8,2.3,2.2,1.9
그룹과외,2018,2.1,2,2.4,2
그룹과외,2019,2.1,2.2,2.3,2
그룹과외,2020,2.2,2.2,2.4,1.9
그룹과외,2021,2.1,2.4,2.4,2.3
학원수강,2007,14.9,11,10.8,5.4
학원수강,2008,16,12,12.4,5.8
학원수강,2009,17.1,11.4,12.5,7.1
학원수강,2010,16.5,11.9,12.4,7.4
학원수강,2011,17,11.8,12.4,7.2
학원수강,2012,17.6,11.7,12.3,6.8
학원수강,2013,18.5,12.3,11.9,7.1
학원수강,2014,18.6,11.9,12.1,7.2
학원수강,2015,18.4,11.5,11.8,6.9
학원수강,2016,19.5,12.1,12,6.9
학원수강,2017,21.6,13.1,12.3,7.3
학원수강,2018,22.8,13.8,13.8,7.5
학원수강,2019,24.7,16,16.1,9.1
학원수강,2020,26.9,16,15.7,8.9
학원수강,2021,30.5,19.2,18.8,11.2
방문학습지,2007,2,2.1,2.1,1.6
방문학습지,2008,1.8,1.9,1.8,1.4
방문학습지,2009,1.9,1.6,1.8,1.5
방문학습지,2010,1.7,1.4,1.6,1.4
방문학습지,2011,1.5,1.2,1.4,1.3
방문학습지,2012,1.1,1.1,1.1,1
방문학습지,2013,1.1,0.9,1.1,0.9
방문학습지,2014,1.1,0.9,1.1,1
방문학습지,2015,1.1,0.9,1.1,1
방문학습지,2016,1,1,1.1,1
방문학습지,2017,1.2,1.1,1.2,1
방문학습지,2018,1.2,1.2,1.3,0.9
방문학습지,2019,1.4,1.1,1.3,1.1
방문학습지,2020,1.2,1.1,1.1,1
방문학습지,2021,1.3,1.1,1.2,1.1
유료인터넷 및 통신강좌 등,2007,0.3,0.2,0.2,0.2
유료인터넷 및 통신강좌 등,2008,0.3,0.2,0.3,0.2
유료인터넷 및 통신강좌 등,2009,0.4,0.3,0.3,0.2
유료인터넷 및 통신강좌 등,2010,0.3,0.3,0.3,0.2
유료인터넷 및 통신강좌 등,2011,0.3,0.3,0.3,0.2
유료인터넷 및 통신강좌 등,2012,0.2,0.3,0.3,0.2
유료인터넷 및 통신강좌 등,2013,0.2,0.2,0.2,0.2
유료인터넷 및 통신강좌 등,2014,0.2,0.2,0.2,0.2
유료인터넷 및 통신강좌 등,2015,0.2,0.2,0.2,0.2
유료인터넷 및 통신강좌 등,2016,0.5,0.4,0.4,0.4
유료인터넷 및 통신강좌 등,2017,0.5,0.5,0.4,0.4
유료인터넷 및 통신강좌 등,2018,0.6,0.6,0.6,0.6
유료인터넷 및 통신강좌 등,2019,0.7,0.7,0.8,0.7
유료인터넷 및 통신강좌 등,2020,0.9,0.8,0.8,0.8
유료인터넷 및 통신강좌 등,2021,1.5,1.2,1.3,1.1
"유형: 예체능,취미,교양 사교육",2007,4.8,4.2,4.7,2.8
"유형: 예체능,취미,교양 사교육",2008,5.3,4.1,4.7,2.8
"유형: 예체능,취미,교양 사교육",2009,6.5,3.9,4.4,3.5
"유형: 예체능,취미,교양 사교육",2010,6.5,3.8,4.4,3.6
"유형: 예체능,취미,교양 사교육",2011,6.4,3.9,4.6,3.8
"유형: 예체능,취미,교양 사교육",2012,5,4.2,4.1,3.5
"유형: 예체능,취미,교양 사교육",2013,5.9,4.3,5,3.4
"유형: 예체능,취미,교양 사교육",2014,6.5,4.4,5.2,3.9
"유형: 예체능,취미,교양 사교육",2015,6.9,4.9,5.3,3.9
"유형: 예체능,취미,교양 사교육",2016,8,5.9,6.4,4.7
"유형: 예체능,취미,교양 사교육",2017,9.4,6.8,7.3,5.1
"유형: 예체능,취미,교양 사교육",2018,10.1,7.1,7.7,5.1
"유형: 예체능,취미,교양 사교육",2019,11.3,7.7,8.6,5.3
"유형: 예체능,취미,교양 사교육",2020,8.5,5.6,5.9,4.5
"유형: 예체능,취미,교양 사교육",2021,11.2,7.9,8.2,6.4
개인과외,2007,0.9,0.6,0.7,0.3
개인과외,2008,0.9,0.6,0.7,0.3
개인과외,2009,2.1,0.6,0.7,0.5
개인과외,2010,2.3,0.5,0.8,0.6
개인과외,2011,2.2,0.6,0.7,0.5
개인과외,2012,1,0.6,0.6,0.4
개인과외,2013,1.5,0.8,0.8,0.3
개인과외,2014,1.8,0.7,0.8,0.5
개인과외,2015,1.4,0.9,1,0.7
개인과외,2016,1.9,0.9,0.9,0.6
개인과외,2017,2,1,1.1,0.7
개인과외,2018,2,1,1.2,0.7
개인과외,2019,2.5,0.9,1.1,0.7
개인과외,2020,2.3,0.9,1,0.6
개인과외,2021,2.2,1,1.1,0.7
그룹과외,2007,0.4,0.3,0.4,0.1
그룹과외,2008,0.3,0.2,0.3,0.1
그룹과외,2009,0.6,0.2,0.3,0.2
그룹과외,2010,0.6,0.2,0.4,0.2
그룹과외,2011,0.6,0.2,0.4,0.2
그룹과외,2012,0.4,0.3,0.3,0.2
그룹과외,2013,0.6,0.2,0.3,0.2
그룹과외,2014,0.6,0.3,0.4,0.2
그룹과외,2015,0.8,0.3,0.4,0.2
그룹과외,2016,0.6,0.4,0.4,0.2
그룹과외,2017,0.8,0.5,0.5,0.3
그룹과외,2018,0.9,0.5,0.6,0.4
그룹과외,2019,1.1,0.5,0.6,0.4
그룹과외,2020,0.8,0.4,0.4,0.4
그룹과외,2021,0.7,0.4,0.5,0.4
학원수강,2007,3.4,3.2,3.5,2.3
학원수강,2008,3.9,3.2,3.5,2.3
학원수강,2009,3.5,2.9,3.2,2.8
학원수강,2010,3.4,2.9,3.1,2.8
학원수강,2011,3.4,3,3.4,2.9
학원수강,2012,3.4,3.2,3.2,2.7
학원수강,2013,3.8,3.2,3.8,2.8
학원수강,2014,4.2,3.3,4,3.1
학원수강,2015,4.6,3.6,3.8,2.9
학원수강,2016,5.1,4.4,4.7,3.6
학원수강,2017,6,4.9,5.2,3.7
학원수강,2018,6.7,5.2,5.6,3.8
학원수강,2019,7.3,5.9,6.5,4
학원수강,2020,5.1,4.2,4.3,3.2
학원수강,2021,8.1,6.3,6.5,5
방문수업 및 기타,2007,0.1,0.1,0.1,0.1
방문수업 및 기타,2008,0.1,0.1,0.1,0.1
방문수업 및 기타,2009,0.1,0.1,0.1,0.1
방문수업 및 기타,2010,0.1,0.1,0.1,0.1
방문수업 및 기타,2011,0.2,0.1,0.1,0.1
방문수업 및 기타,2012,0.2,0.1,0.1,0.1
방문수업 및 기타,2013,0.1,0.1,0.1,0
방문수업 및 기타,2014,0,0.1,0,0
방문수업 및 기타,2015,0.1,0.1,0.1,0.1
방문수업 및 기타,2016,0.5,0.3,0.3,0.2
방문수업 및 기타,2017,0.5,0.4,0.4,0.3
방문수업 및 기타,2018,0.5,0.3,0.4,0.2
방문수업 및 기타,2019,0.5,0.4,0.4,0.3
방문수업 및 기타,2020,0.3,0.2,0.2,0.2
방문수업 및 기타,2021,0.3,0.3,0.2,0.3
