"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Sum"
"83",5.8,2.7,3.9,1.2,"versicolor",8.5
"84",6,2.7,5.1,1.6,"versicolor",8.7
"85",5.4,3,4.5,1.5,"versicolor",8.4
"86",6,3.4,4.5,1.6,"versicolor",9.4
"87",6.7,3.1,4.7,1.5,"versicolor",9.8
"88",6.3,2.3,4.4,1.3,"versicolor",8.6
"89",5.6,3,4.1,1.3,"versicolor",8.6
"90",5.5,2.5,4,1.3,"versicolor",8
"91",5.5,2.6,4.4,1.2,"versicolor",8.1
"92",6.1,3,4.6,1.4,"versicolor",9.1
"93",5.8,2.6,4,1.2,"versicolor",8.4
"94",5,2.3,3.3,1,"versicolor",7.3
"95",5.6,2.7,4.2,1.3,"versicolor",8.3
"96",5.7,3,4.2,1.2,"versicolor",8.7
"97",5.7,2.9,4.2,1.3,"versicolor",8.6
"98",6.2,2.9,4.3,1.3,"versicolor",9.1
"99",5.1,2.5,3,1.1,"versicolor",7.6
"100",5.7,2.8,4.1,1.3,"versicolor",8.5
"101",6.3,3.3,6,2.5,"virginica",9.6
"102",5.8,2.7,5.1,1.9,"virginica",8.5
"103",7.1,3,5.9,2.1,"virginica",10.1
"104",6.3,2.9,5.6,1.8,"virginica",9.2
"105",6.5,3,5.8,2.2,"virginica",9.5
"106",7.6,3,6.6,2.1,"virginica",10.6
"107",4.9,2.5,4.5,1.7,"virginica",7.4
"108",7.3,2.9,6.3,1.8,"virginica",10.2
"109",6.7,2.5,5.8,1.8,"virginica",9.2
"110",7.2,3.6,6.1,2.5,"virginica",10.8
"111",6.5,3.2,5.1,2,"virginica",9.7
"112",6.4,2.7,5.3,1.9,"virginica",9.1
"113",6.8,3,5.5,2.1,"virginica",9.8
"114",5.7,2.5,5,2,"virginica",8.2
"115",5.8,2.8,5.1,2.4,"virginica",8.6
"116",6.4,3.2,5.3,2.3,"virginica",9.6
"117",6.5,3,5.5,1.8,"virginica",9.5
"118",7.7,3.8,6.7,2.2,"virginica",11.5
"119",7.7,2.6,6.9,2.3,"virginica",10.3
"120",6,2.2,5,1.5,"virginica",8.2
"121",6.9,3.2,5.7,2.3,"virginica",10.1
"122",5.6,2.8,4.9,2,"virginica",8.4
"123",7.7,2.8,6.7,2,"virginica",10.5
"124",6.3,2.7,4.9,1.8,"virginica",9
"125",6.7,3.3,5.7,2.1,"virginica",10
"126",7.2,3.2,6,1.8,"virginica",10.4
"127",6.2,2.8,4.8,1.8,"virginica",9
"128",6.1,3,4.9,1.8,"virginica",9.1
"129",6.4,2.8,5.6,2.1,"virginica",9.2
"130",7.2,3,5.8,1.6,"virginica",10.2
"131",7.4,2.8,6.1,1.9,"virginica",10.2
"132",7.9,3.8,6.4,2,"virginica",11.7
"133",6.4,2.8,5.6,2.2,"virginica",9.2
"134",6.3,2.8,5.1,1.5,"virginica",9.1
"135",6.1,2.6,5.6,1.4,"virginica",8.7
"136",7.7,3,6.1,2.3,"virginica",10.7
"137",6.3,3.4,5.6,2.4,"virginica",9.7
"138",6.4,3.1,5.5,1.8,"virginica",9.5
"139",6,3,4.8,1.8,"virginica",9
"140",6.9,3.1,5.4,2.1,"virginica",10
"141",6.7,3.1,5.6,2.4,"virginica",9.8
"142",6.9,3.1,5.1,2.3,"virginica",10
"143",5.8,2.7,5.1,1.9,"virginica",8.5
"144",6.8,3.2,5.9,2.3,"virginica",10
"145",6.7,3.3,5.7,2.5,"virginica",10
"146",6.7,3,5.2,2.3,"virginica",9.7
"147",6.3,2.5,5,1.9,"virginica",8.8
"148",6.5,3,5.2,2,"virginica",9.5
"149",6.2,3.4,5.4,2.3,"virginica",9.6
"150",5.9,3,5.1,1.8,"virginica",8.9
